Player,Tm,Pos,GP,G,A,+/-,PIM,PP,SH,GW,PP,SH,S,TOI,BLK,HIT,FOW,FOL,-9999
Anthony DeAngelo,PHI,D,26,4,10,-13,32,2,0,0,6,0,58,632,37,15,0,0,deangan01
Ty Dellandrea,DAL,C,27,4,9,6,19,0,0,2,0,1,32,388,17,39,38,36,dellaty01
Jason Dickinson,CHI,C,22,4,6,-7,6,1,0,1,0,2,30,341,21,36,110,107,dickija01
Nic Dowd,WSH,C,29,4,4,1,16,0,0,1,0,1,21,381,19,68,190,200,dowdni01
Vince Dunn,SEA,D,26,4,12,9,16,0,0,0,7,0,40,607,28,32,0,0,dunnvi02
Sean Durzi,LAK,D,26,4,14,-6,14,1,0,1,8,0,34,521,46,38,0,0,durzise01
Aaron Ekblad,FLA,D,16,4,8,-4,14,1,0,0,6,0,47,391,21,19,0,0,ekblaaa01
Pierre Engvall,TOR,LW,27,4,3,2,11,1,0,2,0,0,44,331,4,28,18,16,engvapi01
Adam Erne,DET,LW,26,4,7,0,4,0,0,1,0,1,22,372,28,82,5,8,ernead01
Justin Faulk,STL,D,27,4,14,-8,10,1,0,2,4,0,72,629,44,53,0,0,faulkju01
Gustav Forsling,FLA,D,27,4,14,10,12,1,0,1,2,1,82,644,30,24,0,0,forslgu02
Conor Garland,VAN,RW,26,4,8,-6,21,1,0,1,3,0,48,382,5,8,2,3,garlaco01
Frederick Gaudreau,MIN,C,26,4,5,0,0,0,1,0,0,1,51,436,17,14,169,169,gaudrfr01
Julien Gauthier,NYR,RW,21,4,2,1,4,0,0,0,0,0,19,185,5,39,3,3,gauthju01
